titulo,empresa,data,link
"Modelagem de Tecido  Para Estofados, Cama e Demais Produtos Moveleiros (cortador)",Rf Sanches,"
                    06/07/2025",https://empregos.maringa.com/vaga-emprego/461120/modelagem-de-tecido-para-estofados-cama-e-demais-produtos-moveleiros-cortador/maringa/pr
Estágio em Administração de Imóveis - Zona 7,Enjoy RH,"
                    06/07/2025",https://empregos.maringa.com/vaga-emprego/461004/estagio-em-administracao-de-imoveis-zona-7/maringa/pr
Operador de Loja - Shopping,Spoleto,"
                    06/07/2025",https://empregos.maringa.com/vaga-emprego/368012/operador-de-loja-shopping/maringa/pr
Operador de loja Franquia - Shopping,Spoleto,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/446539/operador-de-loja-franquia-shopping/maringa/pr
Secretariado / Recepção Clínica Odontológica,Odonto Excellence ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461631/secretariado-recepcao-clinica-odontologica/maringa/pr
Serviços Gerais,Supermercado Bom Dia Esperança 2,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461626/servicos-gerais/sarandi/pr
Projetista de Móveis Planejados,Móveis Balaroti,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461616/projetista-de-moveis-planejados/maringa/pr
Atendendo/recepção,Ben Car,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461630/atendendorecepcao/maringa/pr
Editor de Vídeo e Arte-finalista (social Media e Branding Fitness),The Kingdom,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461629/editor-de-video-e-arte-finalista-social-media-e-branding-fitness/maringa/pr
Vendedor(a) - Shopping,Maria Filó ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461627/vendedora-shopping/maringa/pr
Grupo Souza Contabilidade: Contrata - Assistente/analista Contábil,Grupo Souza Contabilidade,"
                    01/07/2025",
Lubrificador/troca de Óleo,Águia Lubrificantes ,"
                    30/06/2025",
Repositor de Mercadoria,V. Guimaraes Martins,"
                    03/07/2025",
Professor(a) de Musculação,Rainha Fit ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461619/professora-de-musculacao/maringa/pr
Costureira(o) Pilotista - Paiçandu,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/459598/costureirao-pilotista-paicandu/paicandu/pr
Soldador Tig Com Experiência,Brcross Equipamentos ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/460753/soldador-tig-com-experiencia/paicandu/pr
Costureiro(a),Demorgan Uniformes,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/460692/costureiroa/maringa/pr
Preparador de Pintura,Vaga Confidencial,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/460665/preparador-de-pintura/sarandi/pr
Consultor (a) de Consórcio Web - Zacarias Veículos,Grupo Zacarias Veículos,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/460609/consultor-a-de-consorcio-web-zacarias-veiculos/maringa/pr
Estágio em Engenharia Civil - Vila Bosque,Enjoy RH,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/459128/estagio-em-engenharia-civil-vila-bosque/maringa/pr
Estágio em Setor de Calibração - Zona 4,Enjoy RH,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/459103/estagio-em-setor-de-calibracao-zona-4/maringa/pr
Professor(a) de Alemão,E-sanches Agencia de Empregos,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/452021/professora-de-alemao/maringa/pr
Eletromecânico S,Totalmix Indústria e Comércio,"
                    05/07/2025",
Sub Chefe de Cozinha - Barzinho Noturno,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461625/sub-chefe-de-cozinha-barzinho-noturno/maringa/pr
Consultor Comercial - Cursos / Treinamentos Corporativos,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461628/consultor-comercial-cursos-treinamentos-corporativos/maringa/pr
Estoquista -auto Peças,Accioly,"
                    02/07/2025",
Recepção Para Motel - 12x36,Motel Bentevi,"
                    01/07/2025",
Escola de Educação Infantil,Vaga Confidencial,"
                    01/07/2025",
"Vendas Externas (laminados, Forros e Divisórias)",Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461624/vendas-externas-laminados-forros-e-divisorias/maringa/pr
Analista de Recrutamento & Seleção Pleno .,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461618/analista-de-recrutamento-selecao-pleno/maringa/pr
Secretariado - Escritório Advocatício,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461617/secretariado-escritorio-advocaticio/maringa/pr
Costureira(o) - Maringa,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461620/costureirao-maringa/maringa/pr
Auxiliar de Estoque - Loja,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461623/auxiliar-de-estoque-loja/maringa/pr
Empregada Domestica - Avenida Carlos Borges,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461614/empregada-domestica-avenida-carlos-borges/maringa/pr
Auxiliar de Cozinha,Padaria e Confeitaria Cerro Azul,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/369054/auxiliar-de-cozinha/maringa/pr
Auxiliar de Produção,Donsabore Salgados,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/426353/auxiliar-de-producao/maringa/pr
Vendedor(a) - Shopping,Maria Gazoza,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/391213/vendedora-shopping/maringa/pr
Zeladoria,Padaria e Confeitaria Cerro Azul,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/83223/zeladoria/maringa/pr
Assistente Financeiro - Contas A Pagar,Vaga Confidencial,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461621/assistente-financeiro-contas-a-pagar/maringa/pr
Televendas Atacado Peças Linha Pesada Caminhões,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461622/televendas-atacado-pecas-linha-pesada-caminhoes/maringa/pr
Vendedor de Consórcio,Imobiliaria Herval,"
                    04/07/2025",
Comprador(a),Casa dos Uniformes,"
                    03/07/2025",
Atendente de Pizzaria - Horário Noturno das 16h30 Às 23h59,Pizza da Mafia,"
                    02/07/2025",
Advogado(a) Associado - Controladoria Jurídica.,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461615/advogadoa-associado-controladoria-juridica/maringa/pr
Babá Noturno,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461613/baba-noturno/maringa/pr
Assistente de Manutenção,Hotel Transamérica Maringá,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/446980/assistente-de-manutencao/maringa/pr
